Timestamp,output-volume
2012-01-21 00:00:00,307330.257424819
2012-01-24 00:00:00,384665.637735182
2012-01-27 00:00:00,360852.30272307
2012-01-30 00:00:00,333595.678239811
2012-02-02 00:00:00,376869.172564321
2012-02-05 00:00:00,346103.09398566
2012-02-08 00:00:00,309649.22480306
2012-02-11 00:00:00,458101.212065389
2012-02-14 00:00:00,1352875.86519127
2012-02-17 00:00:00,980044.443039062
2012-02-20 00:00:00,436470.040740089
2012-02-23 00:00:00,692032.488498299
2012-02-26 00:00:00,347126.385399049
2012-02-29 00:00:00,338421.94801077
2012-03-03 00:00:00,386748.74107678
2012-03-06 00:00:00,362054.094382371
2012-03-09 00:00:00,598061.39599002
2012-03-12 00:00:00,606233.97458425
2012-03-15 00:00:00,492864.21613991
2012-03-18 00:00:00,379449.643670491
2012-03-21 00:00:00,515344.029687949
2012-03-24 00:00:00,821356.542658391
2012-03-27 00:00:00,575018.41495218
2012-03-30 00:00:00,988434.359329025
2012-04-02 00:00:00,703032.14748597
2012-04-05 00:00:00,943391.505819743
2012-04-08 00:00:00,1263160.47859292
2012-04-11 00:00:00,1518655.98688216
2012-04-14 00:00:00,982168.659179318
2012-04-17 00:00:00,1139507.17625959
2012-04-20 00:00:00,2864389.57021573
2012-04-23 00:00:00,784560.599786367
2012-04-26 00:00:00,1857826.46818446
2012-04-29 00:00:00,989035.587918013
2012-05-02 00:00:00,1083940.56461852
2012-05-05 00:00:00,1204600.83182307
2012-05-08 00:00:00,3898869.81975068
2012-05-11 00:00:00,1539746.73919501
2012-05-14 00:00:00,2306925.08375248
2012-05-17 00:00:00,3456116.18135479
2012-05-20 00:00:00,2019018.75302653
2012-05-23 00:00:00,1806509.40051702
2012-05-26 00:00:00,4831935.95270121
2012-05-29 00:00:00,3168985.41326641
2012-06-01 00:00:00,2969598.76537258
2012-06-04 00:00:00,4645313.15018137
2012-06-07 00:00:00,4841143.6744715
2012-06-10 00:00:00,3292536.17809465
2012-06-13 00:00:00,2431812.84913383
2012-06-16 00:00:00,3900349.19610105
2012-06-19 00:00:00,2119402.77364747
2012-06-22 00:00:00,2275711.50415201
2012-06-25 00:00:00,1818923.14292775
2012-06-28 00:00:00,3474911.56490419
2012-07-01 00:00:00,1346647.64590641
2012-07-04 00:00:00,2279526.86962566
2012-07-07 00:00:00,4127597.19851503
2012-07-10 00:00:00,2170880.3810215
2012-07-13 00:00:00,2479292.88295526
2012-07-16 00:00:00,2110624.76932536
2012-07-19 00:00:00,1228132.22114948
2012-07-22 00:00:00,1716136.98916437
2012-07-25 00:00:00,1024844.92607089
2012-07-28 00:00:00,1742182.22720635
2012-07-31 00:00:00,2974358.70358369
2012-08-03 00:00:00,1431240.18324972
2012-08-06 00:00:00,1995321.80120205
2012-08-09 00:00:00,1453200.80749878
2012-08-12 00:00:00,1616952.2292634
2012-08-15 00:00:00,1789685.95620362
2012-08-18 00:00:00,2154735.38967632
2012-08-21 00:00:00,5481598.72841156
2012-08-24 00:00:00,11064106.0212281
2012-08-27 00:00:00,6317082.62540718
2012-08-30 00:00:00,11585110.8309511
2012-09-02 00:00:00,5968122.58787634
2012-09-05 00:00:00,9277781.79154845
2012-09-08 00:00:00,7584282.22254483
2012-09-11 00:00:00,20228603.9765601
2012-09-14 00:00:00,18031417.2989622
2012-09-17 00:00:00,13061001.1658778
2012-09-20 00:00:00,15908406.7865328
2012-09-23 00:00:00,7816618.25846457
2012-09-26 00:00:00,1737748.15454295
2012-09-29 00:00:00,1302616.3584911
2012-10-02 00:00:00,2006735.60108553
2012-10-05 00:00:00,2649368.84276078
2012-10-08 00:00:00,1776535.4279336
2012-10-11 00:00:00,1246301.99893083
2012-10-14 00:00:00,1386647.67021742
2012-10-17 00:00:00,3334767.15764639
2012-10-20 00:00:00,2715802.80313158
2012-10-23 00:00:00,2607540.36586628
2012-10-26 00:00:00,1038024.25427035
2012-10-29 00:00:00,1015491.50227459
2012-11-01 00:00:00,2615517.50342968
2012-11-04 00:00:00,2247532.78993214
2012-11-07 00:00:00,1854321.08802645
2012-11-10 00:00:00,438620.176610936
2012-11-13 00:00:00,854362.514737249
2012-11-16 00:00:00,3704500.18719615
2012-11-19 00:00:00,1381940.98998971
2012-11-22 00:00:00,1442437.42491676
2012-11-25 00:00:00,810454.882741422
2012-11-28 00:00:00,1891268.83720622
2012-12-01 00:00:00,628526.653334207
2012-12-04 00:00:00,2489158.49724517
2012-12-07 00:00:00,2083190.92737684
2012-12-10 00:00:00,1037451.35443147
2012-12-13 00:00:00,3839017.0493206
2012-12-16 00:00:00,1782516.03883903
2012-12-19 00:00:00,1137275.06654352
2012-12-22 00:00:00,1402903.97916463
2012-12-25 00:00:00,604804.030367411
2012-12-28 00:00:00,1076612.3117094
2012-12-31 00:00:00,1369985.74192577
2013-01-03 00:00:00,1742042.55488445
2013-01-06 00:00:00,1101232.43963926
2013-01-09 00:00:00,1720210.14844046
2013-01-12 00:00:00,980520.665497366
2013-01-15 00:00:00,2092810.83530802
2013-01-18 00:00:00,1655101.04212151
2013-01-21 00:00:00,1152751.45753474
2013-01-24 00:00:00,1616949.95832763
2013-01-27 00:00:00,1471814.58888118
2013-01-30 00:00:00,2692071.85630503
2013-02-02 00:00:00,1354020.58299643
2013-02-05 00:00:00,2006309.53281152
2013-02-08 00:00:00,2189719.72664772
2013-02-11 00:00:00,1328240.58315568
2013-02-14 00:00:00,1502365.26186877
2013-02-17 00:00:00,1145511.75715344
2013-02-20 00:00:00,1200831.67776048
2013-02-23 00:00:00,1283683.58685939
2013-02-26 00:00:00,1633163.91339043
2013-03-01 00:00:00,1647857.63740179
2013-03-04 00:00:00,979042.044530394
2013-03-07 00:00:00,1659536.98910145
2013-03-10 00:00:00,1241733.73357707
2013-03-13 00:00:00,1505965.84316932
2013-03-16 00:00:00,2307843.52784695
2013-03-19 00:00:00,1944707.41755049
2013-03-22 00:00:00,1520085.09044572
2013-03-25 00:00:00,1544997.61120333
2013-03-28 00:00:00,1826700.75781862
2013-03-31 00:00:00,1540937.81770479
2013-04-03 00:00:00,2371324.93158493
2013-04-06 00:00:00,1333262.48737764
2013-04-09 00:00:00,2079535.47011075
2013-04-12 00:00:00,1774103.00022634
2013-04-15 00:00:00,1049837.79441591
2013-04-18 00:00:00,5846871.99114945
2013-04-21 00:00:00,983216.825379949
2013-04-24 00:00:00,2164362.81202136
2013-04-27 00:00:00,808262.656526395
2013-04-30 00:00:00,1003343.62821068
2013-05-03 00:00:00,797019.863329705
2013-05-06 00:00:00,858406.015164323
2013-05-09 00:00:00,695397.038476054
2013-05-12 00:00:00,562565.702801053
2013-05-15 00:00:00,752790.907097212
2013-05-18 00:00:00,748211.00918302
2013-05-21 00:00:00,674482.949535196
2013-05-24 00:00:00,759741.681363691
2013-05-27 00:00:00,666608.373834581
2013-05-30 00:00:00,629587.809747284
2013-06-02 00:00:00,431875.338581348
2013-06-05 00:00:00,681339.364361771
2013-06-08 00:00:00,399038.355749357
2013-06-11 00:00:00,598337.290855504
