Timestamp,n-transactions-excluding-popular
2012-09-11 00:00:00,38225
2012-09-14 00:00:00,36118
2012-09-17 00:00:00,24446
2012-09-20 00:00:00,31282
2012-09-23 00:00:00,27999
2012-09-26 00:00:00,32413
2012-09-29 00:00:00,23992
2012-10-02 00:00:00,32878
2012-10-05 00:00:00,37031
2012-10-08 00:00:00,38211
2012-10-11 00:00:00,27684
2012-10-14 00:00:00,27414
2012-10-17 00:00:00,31813
2012-10-20 00:00:00,30699
2012-10-23 00:00:00,32031
2012-10-26 00:00:00,21927
2012-10-29 00:00:00,21500
2012-11-01 00:00:00,23638
2012-11-04 00:00:00,24304
2012-11-07 00:00:00,36480
2012-11-10 00:00:00,27109
2012-11-13 00:00:00,27131
2012-11-16 00:00:00,39446
2012-11-19 00:00:00,36772
2012-11-22 00:00:00,30900
2012-11-25 00:00:00,36736
2012-11-28 00:00:00,37256
2012-12-01 00:00:00,33492
2012-12-04 00:00:00,32356
2012-12-07 00:00:00,32145
2012-12-10 00:00:00,36221
2012-12-13 00:00:00,42515
2012-12-16 00:00:00,35476
2012-12-19 00:00:00,44765
2012-12-22 00:00:00,51258
2012-12-25 00:00:00,28743
2012-12-28 00:00:00,47105
2012-12-31 00:00:00,30064
2013-01-03 00:00:00,42309
2013-01-06 00:00:00,33026
2013-01-09 00:00:00,43190
2013-01-12 00:00:00,45671
2013-01-15 00:00:00,45022
2013-01-18 00:00:00,49139
2013-01-21 00:00:00,40441
2013-01-24 00:00:00,46221
2013-01-27 00:00:00,55413
2013-01-30 00:00:00,41219
2013-02-02 00:00:00,54465
2013-02-05 00:00:00,53420
2013-02-08 00:00:00,60921
2013-02-11 00:00:00,57594
2013-02-14 00:00:00,50928
2013-02-17 00:00:00,49635
2013-02-20 00:00:00,59748
2013-02-23 00:00:00,57886
2013-02-26 00:00:00,63438
2013-03-01 00:00:00,64535
2013-03-04 00:00:00,64044
2013-03-07 00:00:00,66770
2013-03-10 00:00:00,73844
2013-03-13 00:00:00,56690
2013-03-16 00:00:00,34187
2013-03-19 00:00:00,46108
2013-03-22 00:00:00,60584
2013-03-25 00:00:00,48993
2013-03-28 00:00:00,60989
2013-03-31 00:00:00,43986
2013-04-03 00:00:00,63941
2013-04-06 00:00:00,51718
2013-04-09 00:00:00,66979
2013-04-12 00:00:00,58690
2013-04-15 00:00:00,54496
2013-04-18 00:00:00,46631
2013-04-21 00:00:00,44224
2013-04-24 00:00:00,65023
2013-04-27 00:00:00,44369
2013-04-30 00:00:00,47599
2013-05-03 00:00:00,51180
2013-05-06 00:00:00,53340
2013-05-09 00:00:00,66774
2013-05-12 00:00:00,65428
2013-05-15 00:00:00,64171
2013-05-18 00:00:00,52215
2013-05-21 00:00:00,53932
2013-05-24 00:00:00,55401
2013-05-27 00:00:00,52758
2013-05-30 00:00:00,57426
2013-06-02 00:00:00,49947
2013-06-05 00:00:00,56560
2013-06-08 00:00:00,48218
2013-06-11 00:00:00,49663
2013-06-14 00:00:00,50172
2013-06-17 00:00:00,45943
2013-06-20 00:00:00,52515
2013-06-23 00:00:00,38507
2013-06-26 00:00:00,45627
2013-06-29 00:00:00,36545
2013-07-02 00:00:00,39650
2013-07-05 00:00:00,37037
2013-07-08 00:00:00,39629
2013-07-11 00:00:00,43434
2013-07-14 00:00:00,34933
2013-07-17 00:00:00,40643
2013-07-20 00:00:00,33702
2013-07-23 00:00:00,38432
2013-07-26 00:00:00,36622
2013-07-29 00:00:00,41812
2013-08-01 00:00:00,50904
2013-08-04 00:00:00,42946
2013-08-07 00:00:00,57606
2013-08-10 00:00:00,51695
2013-08-13 00:00:00,53080
2013-08-16 00:00:00,71119
2013-08-19 00:00:00,71314
2013-08-22 00:00:00,66812
2013-08-25 00:00:00,44447
2013-08-28 00:00:00,64747
2013-08-31 00:00:00,47505
2013-09-03 00:00:00,52163
2013-09-06 00:00:00,60850
2013-09-09 00:00:00,57676
2013-09-12 00:00:00,52300
2013-09-15 00:00:00,53672
2013-09-18 00:00:00,60551
2013-09-21 00:00:00,52498
2013-09-24 00:00:00,62592
2013-09-27 00:00:00,46920
2013-09-30 00:00:00,47156
2013-10-03 00:00:00,59551
2013-10-06 00:00:00,42857
2013-10-09 00:00:00,50343
2013-10-12 00:00:00,49474
2013-10-15 00:00:00,55826
2013-10-18 00:00:00,59661
2013-10-21 00:00:00,60451
2013-10-24 00:00:00,63634
2013-10-27 00:00:00,43691
2013-10-30 00:00:00,48446
2013-11-02 00:00:00,39181
2013-11-05 00:00:00,51597
2013-11-08 00:00:00,59223
2013-11-11 00:00:00,57405
2013-11-14 00:00:00,69413
2013-11-17 00:00:00,51323
2013-11-20 00:00:00,77558
2013-11-23 00:00:00,72545
2013-11-26 00:00:00,83383
2013-11-29 00:00:00,90084
2013-12-02 00:00:00,75570
2013-12-05 00:00:00,83283
2013-12-08 00:00:00,47477
2013-12-11 00:00:00,67305
2013-12-14 00:00:00,54113
2013-12-17 00:00:00,67740
2013-12-20 00:00:00,65083
2013-12-23 00:00:00,54267
2013-12-26 00:00:00,51276
2013-12-29 00:00:00,51325
2014-01-01 00:00:00,43070
2014-01-04 00:00:00,52052
2014-01-07 00:00:00,62911
2014-01-10 00:00:00,54166
2014-01-13 00:00:00,53461
2014-01-16 00:00:00,56703
2014-01-19 00:00:00,48005
2014-01-22 00:00:00,65835
2014-01-25 00:00:00,53864
2014-01-28 00:00:00,65762
2014-01-31 00:00:00,60269
2014-02-03 00:00:00,57600
2014-02-06 00:00:00,70160
2014-02-09 00:00:00,56579
2014-02-12 00:00:00,62126
2014-02-15 00:00:00,61896
2014-02-18 00:00:00,65408
2014-02-21 00:00:00,69390
2014-02-24 00:00:00,73796
2014-02-27 00:00:00,72138
2014-03-02 00:00:00,56635
2014-03-05 00:00:00,72392
2014-03-08 00:00:00,64590
2014-03-11 00:00:00,76204
2014-03-14 00:00:00,70615
2014-03-17 00:00:00,66396
2014-03-20 00:00:00,71002
2014-03-23 00:00:00,57811
2014-03-26 00:00:00,68315
2014-03-29 00:00:00,53250
2014-04-01 00:00:00,64136
2014-04-04 00:00:00,65692
2014-04-07 00:00:00,65810
2014-04-10 00:00:00,68027
2014-04-13 00:00:00,51168
2014-04-16 00:00:00,68594
2014-04-19 00:00:00,53515
2014-04-22 00:00:00,78042
2014-04-25 00:00:00,72650
2014-04-28 00:00:00,64546
2014-05-01 00:00:00,59658
2014-05-04 00:00:00,51769
2014-05-07 00:00:00,69825
2014-05-10 00:00:00,56416
2014-05-13 00:00:00,69357
2014-05-16 00:00:00,65433
2014-05-19 00:00:00,64094
2014-05-22 00:00:00,73343
2014-05-25 00:00:00,57566
2014-05-28 00:00:00,72338
2014-05-31 00:00:00,52172
2014-06-03 00:00:00,69655
2014-06-06 00:00:00,62342
2014-06-09 00:00:00,59875
2014-06-12 00:00:00,64744
2014-06-15 00:00:00,53916
2014-06-18 00:00:00,63888
2014-06-21 00:00:00,51173
2014-06-24 00:00:00,64883
2014-06-27 00:00:00,62966
2014-06-30 00:00:00,69403
2014-07-03 00:00:00,62849
2014-07-06 00:00:00,52139
2014-07-09 00:00:00,68518
2014-07-12 00:00:00,53454
2014-07-15 00:00:00,72316
2014-07-18 00:00:00,64062
2014-07-21 00:00:00,64190
2014-07-24 00:00:00,66276
2014-07-27 00:00:00,51991
2014-07-30 00:00:00,66153
2014-08-02 00:00:00,54989
2014-08-05 00:00:00,72823
2014-08-08 00:00:00,68262
2014-08-11 00:00:00,75575
2014-08-14 00:00:00,79082
2014-08-17 00:00:00,60223
2014-08-20 00:00:00,73842
2014-08-23 00:00:00,57593
2014-08-26 00:00:00,72660
2014-08-29 00:00:00,68614
2014-09-01 00:00:00,70383
2014-09-04 00:00:00,70810
2014-09-07 00:00:00,60352
2014-09-10 00:00:00,72558
2014-09-13 00:00:00,61246
2014-09-16 00:00:00,87234
2014-09-19 00:00:00,69437
2014-09-22 00:00:00,73289
2014-09-25 00:00:00,78523
2014-09-28 00:00:00,62605
2014-10-01 00:00:00,78779
2014-10-04 00:00:00,66632
2014-10-07 00:00:00,79069
2014-10-10 00:00:00,81058
2014-10-13 00:00:00,77942
2014-10-16 00:00:00,75737
2014-10-19 00:00:00,63255
2014-10-22 00:00:00,79987
2014-10-25 00:00:00,72515
2014-10-28 00:00:00,87980
2014-10-31 00:00:00,85703
2014-11-03 00:00:00,90351
2014-11-06 00:00:00,93387
2014-11-09 00:00:00,72212
2014-11-12 00:00:00,95579
2014-11-15 00:00:00,73242
2014-11-18 00:00:00,87524
2014-11-21 00:00:00,82179
2014-11-24 00:00:00,85807
2014-11-27 00:00:00,84682
2014-11-30 00:00:00,85013
2014-12-03 00:00:00,99348
2014-12-06 00:00:00,81230
2014-12-09 00:00:00,90220
2014-12-12 00:00:00,81297
2014-12-15 00:00:00,94459
2014-12-18 00:00:00,95207
2014-12-21 00:00:00,78963
2014-12-24 00:00:00,82347
2014-12-27 00:00:00,76814
2014-12-30 00:00:00,85049
2015-01-02 00:00:00,79287
2015-01-05 00:00:00,95585
2015-01-08 00:00:00,107132
2015-01-11 00:00:00,90630
2015-01-14 00:00:00,104765
2015-01-17 00:00:00,90499
2015-01-20 00:00:00,98925
2015-01-23 00:00:00,92011
2015-01-26 00:00:00,108181
2015-01-29 00:00:00,90879
2015-02-01 00:00:00,78994
2015-02-04 00:00:00,90814
2015-02-07 00:00:00,85699
2015-02-10 00:00:00,102975
2015-02-13 00:00:00,113660
2015-02-16 00:00:00,104632
2015-02-19 00:00:00,94552
2015-02-22 00:00:00,84942
2015-02-25 00:00:00,105394
2015-02-28 00:00:00,89632
2015-03-03 00:00:00,110981
2015-03-06 00:00:00,93869
2015-03-09 00:00:00,105536
2015-03-12 00:00:00,97095
2015-03-15 00:00:00,84934
2015-03-18 00:00:00,99607
2015-03-21 00:00:00,92836
2015-03-24 00:00:00,92927
2015-03-27 00:00:00,99491
2015-03-30 00:00:00,106355
2015-04-02 00:00:00,112070
2015-04-05 00:00:00,95023
2015-04-08 00:00:00,110751
2015-04-11 00:00:00,99429
2015-04-14 00:00:00,110150
2015-04-17 00:00:00,102755
2015-04-20 00:00:00,116746
2015-04-23 00:00:00,109838
2015-04-26 00:00:00,92999
2015-04-29 00:00:00,117260
2015-05-02 00:00:00,95102
2015-05-05 00:00:00,115348
2015-05-08 00:00:00,109145
2015-05-11 00:00:00,111374
2015-05-14 00:00:00,101584
2015-05-17 00:00:00,87162
2015-05-20 00:00:00,106888
2015-05-23 00:00:00,86279
2015-05-26 00:00:00,108384
2015-05-29 00:00:00,124052
2015-06-01 00:00:00,128696
2015-06-04 00:00:00,118346
2015-06-07 00:00:00,83627
2015-06-10 00:00:00,131279
2015-06-13 00:00:00,105843
2015-06-16 00:00:00,121541
2015-06-19 00:00:00,125222
2015-06-22 00:00:00,119345
2015-06-25 00:00:00,111468
2015-06-28 00:00:00,99145
2015-07-01 00:00:00,144112
2015-07-04 00:00:00,104582
2015-07-07 00:00:00,190747
2015-07-10 00:00:00,193020
2015-07-13 00:00:00,159695
2015-07-16 00:00:00,114387
