Timestamp,n-transactions-per-block
2013-04-26 00:00:00,323.181286549708
2013-04-29 00:00:00,297.563218390805
2013-05-02 00:00:00,413.649253731343
2013-05-05 00:00:00,305.042424242424
2013-05-08 00:00:00,305.690909090909
2013-05-11 00:00:00,403.307692307692
2013-05-14 00:00:00,431.623376623377
2013-05-17 00:00:00,364.788819875776
2013-05-20 00:00:00,378.457364341085
2013-05-23 00:00:00,343.614942528736
2013-05-26 00:00:00,249.828220858896
2013-05-29 00:00:00,327.738095238095
2013-06-01 00:00:00,254.981220657277
2013-06-04 00:00:00,270.525821596244
2013-06-07 00:00:00,324.149068322981
2013-06-10 00:00:00,258.620689655172
2013-06-13 00:00:00,232.220430107527
2013-06-16 00:00:00,232.248648648649
2013-06-19 00:00:00,345.816176470588
2013-06-22 00:00:00,253.375
2013-06-25 00:00:00,284.261146496815
2013-06-28 00:00:00,293.207100591716
2013-07-01 00:00:00,249.222929936306
2013-07-04 00:00:00,213.890909090909
2013-07-07 00:00:00,163.204301075269
2013-07-10 00:00:00,201.220512820513
2013-07-13 00:00:00,241.847133757962
2013-07-16 00:00:00,240.19512195122
2013-07-19 00:00:00,214.964912280702
2013-07-22 00:00:00,242.29696969697
2013-07-25 00:00:00,291.301369863014
2013-07-28 00:00:00,222.035714285714
2013-07-31 00:00:00,260.652631578947
2013-08-03 00:00:00,269.094117647059
2013-08-06 00:00:00,286.152631578947
2013-08-09 00:00:00,254.65641025641
2013-08-12 00:00:00,232.537037037037
2013-08-15 00:00:00,341.935294117647
2013-08-18 00:00:00,290.70618556701
2013-08-21 00:00:00,308.831632653061
2013-08-24 00:00:00,283.153005464481
2013-08-27 00:00:00,367.970414201183
2013-08-30 00:00:00,305.380487804878
2013-09-02 00:00:00,238.446511627907
2013-09-05 00:00:00,339.27374301676
2013-09-08 00:00:00,295.872611464968
2013-09-11 00:00:00,246.05
2013-09-14 00:00:00,199.816513761468
2013-09-17 00:00:00,379.502793296089
2013-09-20 00:00:00,294.97
2013-09-23 00:00:00,311.085714285714
2013-09-26 00:00:00,355.216049382716
2013-09-29 00:00:00,242.241176470588
2013-10-02 00:00:00,324.418848167539
2013-10-05 00:00:00,207.666666666667
2013-10-08 00:00:00,280.623456790123
2013-10-11 00:00:00,280.659459459459
2013-10-14 00:00:00,229.808
2013-10-17 00:00:00,280.658682634731
2013-10-20 00:00:00,248.331658291457
2013-10-23 00:00:00,250.289592760181
2013-10-26 00:00:00,262.346153846154
2013-10-29 00:00:00,312.0625
2013-11-01 00:00:00,218.129807692308
2013-11-04 00:00:00,233.451282051282
2013-11-07 00:00:00,420.381944444444
2013-11-10 00:00:00,336.479532163743
2013-11-13 00:00:00,386.130952380952
2013-11-16 00:00:00,243.170103092784
2013-11-19 00:00:00,577.062111801242
2013-11-22 00:00:00,447.366279069767
2013-11-25 00:00:00,414.988439306358
2013-11-28 00:00:00,546.524861878453
2013-12-01 00:00:00,367.21
2013-12-04 00:00:00,465.637426900585
2013-12-07 00:00:00,347.241025641026
2013-12-10 00:00:00,352.203125
2013-12-13 00:00:00,347.161849710983
2013-12-16 00:00:00,345.18407960199
2013-12-19 00:00:00,310.964601769911
2013-12-22 00:00:00,313
2013-12-25 00:00:00,342.148148148148
2013-12-28 00:00:00,320.06
2013-12-31 00:00:00,265.472826086957
2014-01-03 00:00:00,378.757763975155
2014-01-06 00:00:00,362.139784946237
2014-01-09 00:00:00,285.173913043478
2014-01-12 00:00:00,244.140096618357
2014-01-15 00:00:00,334.847826086957
2014-01-18 00:00:00,296.396551724138
2014-01-21 00:00:00,437.210843373494
2014-01-24 00:00:00,347.089947089947
2014-01-27 00:00:00,369.965517241379
2014-01-30 00:00:00,345.448863636364
2014-02-02 00:00:00,282.166666666667
2014-02-05 00:00:00,401.958333333333
2014-02-08 00:00:00,357.192307692308
2014-02-11 00:00:00,409.932926829268
2014-02-14 00:00:00,392.089005235602
2014-02-17 00:00:00,392.6
2014-02-20 00:00:00,401.943502824859
2014-02-23 00:00:00,356.201183431953
2014-02-26 00:00:00,395.038461538462
2014-03-01 00:00:00,440.291666666667
2014-03-04 00:00:00,567.785234899329
2014-03-07 00:00:00,435.813253012048
2014-03-10 00:00:00,475.731543624161
2014-03-13 00:00:00,449.413580246914
2014-03-16 00:00:00,346.970760233918
