Timestamp,n-unique-addresses
2013-06-23 00:00:00,40871
2013-06-26 00:00:00,54144
2013-06-29 00:00:00,50788
2013-07-02 00:00:00,51868
2013-07-05 00:00:00,50395
2013-07-08 00:00:00,52297
2013-07-11 00:00:00,61548
2013-07-14 00:00:00,38901
2013-07-17 00:00:00,53170
2013-07-20 00:00:00,42223
2013-07-23 00:00:00,53996
2013-07-26 00:00:00,51523
2013-07-29 00:00:00,56108
2013-08-01 00:00:00,103351
2013-08-04 00:00:00,46551
2013-08-07 00:00:00,64954
2013-08-10 00:00:00,51094
2013-08-13 00:00:00,61005
2013-08-16 00:00:00,69111
2013-08-19 00:00:00,69236
2013-08-22 00:00:00,72393
2013-08-25 00:00:00,48353
2013-08-28 00:00:00,73597
2013-08-31 00:00:00,77866
2013-09-03 00:00:00,57454
2013-09-06 00:00:00,58464
2013-09-09 00:00:00,56478
2013-09-12 00:00:00,63265
2013-09-15 00:00:00,44238
2013-09-18 00:00:00,64710
2013-09-21 00:00:00,55887
2013-09-24 00:00:00,65926
2013-09-27 00:00:00,64406
2013-09-30 00:00:00,67081
2013-10-03 00:00:00,66403
2013-10-06 00:00:00,49517
2013-10-09 00:00:00,67064
2013-10-12 00:00:00,55313
2013-10-15 00:00:00,71738
2013-10-18 00:00:00,70030
2013-10-21 00:00:00,79056
2013-10-24 00:00:00,89418
2013-10-27 00:00:00,54721
2013-10-30 00:00:00,78591
2013-11-02 00:00:00,65176
2013-11-05 00:00:00,97335
2013-11-08 00:00:00,106680
2013-11-11 00:00:00,88300
2013-11-14 00:00:00,112531
2013-11-17 00:00:00,89325
2013-11-20 00:00:00,139562
2013-11-23 00:00:00,130687
2013-11-26 00:00:00,153552
2013-11-29 00:00:00,162274
2013-12-02 00:00:00,146063
2013-12-05 00:00:00,157285
2013-12-08 00:00:00,95435
2013-12-11 00:00:00,127804
2013-12-14 00:00:00,111422
2013-12-17 00:00:00,133831
2013-12-20 00:00:00,118892
2013-12-23 00:00:00,132256
2013-12-26 00:00:00,106343
2013-12-29 00:00:00,94132
2014-01-01 00:00:00,85153
2014-01-04 00:00:00,99666
2014-01-07 00:00:00,121168
2014-01-10 00:00:00,108863
2014-01-13 00:00:00,133710
2014-01-16 00:00:00,108455
2014-01-19 00:00:00,95238
2014-01-22 00:00:00,132174
2014-01-25 00:00:00,107992
2014-01-28 00:00:00,134406
2014-01-31 00:00:00,131259
2014-02-03 00:00:00,151697
2014-02-06 00:00:00,143631
2014-02-09 00:00:00,110355
2014-02-12 00:00:00,124023
2014-02-15 00:00:00,128245
2014-02-18 00:00:00,132286
2014-02-21 00:00:00,156400
2014-02-24 00:00:00,193162
2014-02-27 00:00:00,162312
2014-03-02 00:00:00,134483
2014-03-05 00:00:00,172202
2014-03-08 00:00:00,149419
2014-03-11 00:00:00,155145
2014-03-14 00:00:00,135298
2014-03-17 00:00:00,162111
2014-03-20 00:00:00,136364
2014-03-23 00:00:00,126956
2014-03-26 00:00:00,146839
2014-03-29 00:00:00,127427
2014-04-01 00:00:00,155429
2014-04-04 00:00:00,154707
2014-04-07 00:00:00,136394
2014-04-10 00:00:00,159374
2014-04-13 00:00:00,156895
2014-04-16 00:00:00,149841
2014-04-19 00:00:00,118692
2014-04-22 00:00:00,162297
2014-04-25 00:00:00,154706
2014-04-28 00:00:00,146280
2014-05-01 00:00:00,132989
2014-05-04 00:00:00,136682
2014-05-07 00:00:00,139545
2014-05-10 00:00:00,115894
2014-05-13 00:00:00,126152
2014-05-16 00:00:00,123629
2014-05-19 00:00:00,137175
2014-05-22 00:00:00,137973
2014-05-25 00:00:00,165704
2014-05-28 00:00:00,156184
2014-05-31 00:00:00,123644
2014-06-03 00:00:00,160756
2014-06-06 00:00:00,143645
2014-06-09 00:00:00,137265
2014-06-12 00:00:00,146361
2014-06-15 00:00:00,156625
2014-06-18 00:00:00,144626
2014-06-21 00:00:00,130125
2014-06-24 00:00:00,148534
2014-06-27 00:00:00,144281
2014-06-30 00:00:00,153158
2014-07-03 00:00:00,135992
2014-07-06 00:00:00,163144
2014-07-09 00:00:00,157335
2014-07-12 00:00:00,134802
2014-07-15 00:00:00,154269
2014-07-18 00:00:00,141523
2014-07-21 00:00:00,135234
2014-07-24 00:00:00,149324
2014-07-27 00:00:00,162972
2014-07-30 00:00:00,156102
2014-08-02 00:00:00,121519
2014-08-05 00:00:00,168882
2014-08-08 00:00:00,149498
2014-08-11 00:00:00,170341
2014-08-14 00:00:00,165350
2014-08-17 00:00:00,179878
2014-08-20 00:00:00,163469
2014-08-23 00:00:00,128246
2014-08-26 00:00:00,163451
2014-08-29 00:00:00,140682
2014-09-01 00:00:00,167302
2014-09-04 00:00:00,153958
2014-09-07 00:00:00,212749
2014-09-10 00:00:00,155747
2014-09-13 00:00:00,132966
2014-09-16 00:00:00,182666
2014-09-19 00:00:00,143062
2014-09-22 00:00:00,170784
2014-09-25 00:00:00,168665
2014-09-28 00:00:00,214115
2014-10-01 00:00:00,184302
2014-10-04 00:00:00,140633
2014-10-07 00:00:00,171824
2014-10-10 00:00:00,171643
2014-10-13 00:00:00,181958
2014-10-16 00:00:00,159050
2014-10-20 00:00:00,166994
2014-10-23 00:00:00,164169
2014-10-26 00:00:00,184703
2014-10-29 00:00:00,174417
2014-11-01 00:00:00,143835
2014-11-04 00:00:00,172105
2014-11-07 00:00:00,163758
2014-11-10 00:00:00,175663
2014-11-13 00:00:00,183931
2014-11-16 00:00:00,222035
2014-11-19 00:00:00,172491
2014-11-22 00:00:00,154860
2014-11-25 00:00:00,175123
2014-11-28 00:00:00,177683
2014-12-01 00:00:00,181684
2014-12-04 00:00:00,187186
2014-12-07 00:00:00,229659
2014-12-10 00:00:00,187861
2014-12-13 00:00:00,155092
2014-12-16 00:00:00,219102
2014-12-19 00:00:00,189380
2014-12-22 00:00:00,212181
2014-12-25 00:00:00,140109
2014-12-28 00:00:00,238616
2014-12-31 00:00:00,150108
2015-01-03 00:00:00,205926
2015-01-06 00:00:00,179159
2015-01-09 00:00:00,202190
2015-01-12 00:00:00,186352
2015-01-15 00:00:00,229796
2015-01-18 00:00:00,214984
2015-01-21 00:00:00,189969
2015-01-24 00:00:00,167143
2015-01-27 00:00:00,205787
2015-01-30 00:00:00,161500
2015-02-02 00:00:00,184674
2015-02-05 00:00:00,176000
2015-02-08 00:00:00,264578
2015-02-11 00:00:00,191881
2015-02-14 00:00:00,214118
2015-02-17 00:00:00,229875
2015-02-20 00:00:00,196964
2015-02-23 00:00:00,213050
2015-02-26 00:00:00,190948
2015-03-01 00:00:00,230566
2015-03-04 00:00:00,200738
2015-03-07 00:00:00,213542
2015-03-10 00:00:00,202831
2015-03-13 00:00:00,196893
2015-03-16 00:00:00,215332
2015-03-19 00:00:00,191319
2015-03-22 00:00:00,229566
2015-03-25 00:00:00,186186
2015-03-28 00:00:00,200239
2015-03-31 00:00:00,226307
2015-04-03 00:00:00,194634
2015-04-06 00:00:00,205697
2015-04-09 00:00:00,201791
2015-04-12 00:00:00,217732
2015-04-15 00:00:00,186694
2015-04-18 00:00:00,216541
2015-04-21 00:00:00,202389
2015-04-24 00:00:00,204006
2015-04-27 00:00:00,215145
2015-04-30 00:00:00,206785
2015-05-03 00:00:00,214577
2015-05-06 00:00:00,225289
2015-05-09 00:00:00,189134
2015-05-12 00:00:00,226586
2015-05-15 00:00:00,209511
2015-05-18 00:00:00,206913
2015-05-21 00:00:00,202037
2015-05-24 00:00:00,249786
2015-05-27 00:00:00,214649
2015-05-30 00:00:00,266265
2015-06-02 00:00:00,253269
2015-06-05 00:00:00,223180
2015-06-08 00:00:00,202272
2015-06-11 00:00:00,233951
2015-06-14 00:00:00,247680
2015-06-17 00:00:00,264842
2015-06-20 00:00:00,228622
2015-06-23 00:00:00,256698
2015-06-26 00:00:00,248150
2015-06-29 00:00:00,240752
2015-07-02 00:00:00,267808
2015-07-05 00:00:00,269467
2015-07-08 00:00:00,278945
2015-07-11 00:00:00,275689
2015-07-14 00:00:00,230438
2015-07-17 00:00:00,205768
2015-07-20 00:00:00,236910
2015-07-23 00:00:00,208474
2015-07-26 00:00:00,256518
2015-07-29 00:00:00,269690
2015-08-01 00:00:00,256672
2015-08-04 00:00:00,252264
2015-08-07 00:00:00,225700
2015-08-10 00:00:00,235211
2015-08-13 00:00:00,228212
2015-08-16 00:00:00,233711
2015-08-19 00:00:00,238988
2015-08-22 00:00:00,258265
2015-08-25 00:00:00,242047
